Class,A,B,C,D
1,47.4018,180.2324,31.3088,180.213
1,40.1706,147.2,22.3941,135.146
1,10.4525,8.4358,6.3203,152.8431
1,7.7248,6.5037,4.6587,71.9641
1,34.6254,60.1673,16.4932,147.6135
1,34.693,46.4756,16.4158,118.9549
1,24.0476,17.6372,9.4361,89.3928
1,213.1729,4415.4629,133.1635,184.8046
1,42.64,88.5092,22.1631,176.6759
1,12.2469,3.5868,5.025,139.3097
1,7.4387,2.4537,3.6963,74.626
1,10.77,2.1837,4.0617,90.6456
1,14.8046,11.9195,7.3363,152.582
1,20.3206,9.1058,7.3103,94.5812
1,92.4675,607.8856,54.54,170.3001
1,26.5966,29.4118,11.1976,95.4924
1,29.6888,42.062,14.7229,141.9603
1,27.0296,32.9182,13.3319,144.15
1,48.9091,143.4004,27.9094,164.9235
1,14.8589,9.7711,7.0125,136.723
1,1.2327,6.9184,0.2882,161.6935
1,46.8111,139.4934,24.1817,174.3855
0,4.1779,0.7144,1.9258,25.387
0,2.5479,0.1196,0.8959,18.2729
0,3.2211,0.7197,2.1264,37.4834
0,9.8615,0.9875,2.205,8.9901
0,6.9201,1.1405,2.2978,14.2529
0,1.9076,1.366,0.506,10.2046
0,3.5829,0.8767,2.4067,51.3571
0,3.6436,0.9248,2.3957,49.2733
0,2.5174,0.2874,1.3067,14.3844
0,2.126,0.218,1.1525,2.6927
0,1.9583,0.218,0.6782,5.8095
0,2.4882,0.2283,1.1135,15.5013
0,2.7418,0.0543,0.393,0.8906
0,3.8749,0.1303,0.9202,11.325
0,6.9183,0.3947,1.4016,2.1686
0,3.5112,0.1114,0.8974,4.301
0,3.4212,0.1283,0.8093,6.1828
0,2.925,0.0623,0.6197,1.4659
0,4.8724,0.3631,1.551,7.4657
0,4.02,0.1984,1.21,2.6811
0,0.9731,0.0243,0.4166,3.6447
